id,name,kind,family,params_m,macs_g,input_res,pretrain,imagenet_top1,data_need,train_cost,throughput,licence,evidence,glass_plastic_strengths,glass_plastic_weaknesses,pros,cons,recommended_when,tier,refs
heuristic_colour_threshold,Colour/intensity thresholding (industrial VIS sorter),model,Heuristic / physics-first,,,full frame,none,,0 labelled images (hand-tuned),0 (manual tuning),very high (>10k fps on FPGA/line-scan),n/a (implement in-house; see vendor toolkits),"Deployed in real plants: PICVISA VIS + neural networks classify glass by colour and shape for colour sorting [R31,R23]. Works where the *material stream is already separated* and only colour/tone classes remain (brown/white/green cullet) [R21].","Extremely cheap, deterministic, audit-friendly; handles glass colour classes (amber/green/white) reliably when the stream is clean.","Cannot separate clear glass from clear plastic at all - identical achromatic appearance; dies on mixed-colour streams, dirt and labels.","Zero data, zero training, sub-millisecond, certifiable logic; the right baseline to beat.",No notion of material; brittle to illumination changes; every new stream needs re-tuning.,Colour sorting of an already-material-pure glass stream; as an interpretable baseline in any study.,baseline,"R21,R23,R31"
heuristic_edge_texture,"Edge + texture descriptors (Canny/Sobel, LBP, GLCM)",model,Heuristic / physics-first,,,full frame,none,,0 labelled images (thresholds) or ~100 for calibration,seconds of CPU,high (1-10 ms/frame CPU),n/a (OpenCV/skimage),The classical glass-CV toolkit: Canny/Sobel contours plus texture analysis differentiate glass from other materials by surface characteristics [R31]. Measured in this repo: texture-only features reach 0.94 balanced accuracy in the proxy task.,"Cheap proxy for surface finish: glass is smooth and shows rim gradients; plastic shows mould ribs, grain and film wrinkles.",Global descriptors: any bright/deformed item elsewhere in the frame corrupts them (measured here: Canny density rises 6.4x under background clutter and accuracy collapses to chance).,"Interpretable, dependency-free, runs on a microcontroller; good cue engineering tool.",No spatial selectivity -> needs a detector/segmenter in front; threshold sensitivity.,"Embedded pre-screening, first-pass prototyping, or when the object is guaranteed isolated in the frame.",baseline,R31
heuristic_specular_stats,Specular-highlight statistics (1-D rule),model,Heuristic / physics-first,,,full frame,none,,0,0,very high,n/a (own code),"Measured in this repo on the synthetic proxy: a single threshold on highlight spikiness gives 0.70 balanced accuracy - i.e. the physics prior explains a large part of the signal, and gives a floor any learned model must beat.","Encodes the most cited physical difference: glass returns few small near-saturated highlights, plastic returns broad soft sheen (lower refractive index contrast + diffuse body).",Confounded by illumination: a single point light on glossy PET mimics glass; a diffuse light dome erases the cue for both.,"One threshold, explainable to a line operator, no training, trivially auditable.",Only meaningful under controlled lighting; colourless text/labels create false highlights.,Lighting-controlled capture cell as an interpretable baseline / fallback rule.,baseline,"R41,R31"
heuristic_transmission,Transmission / haze index (background-continuation),model,Heuristic / physics-first,,,full frame,none,,0,0,very high,n/a (own code),"The 'does the scene continue through the object' test underlies classical transparent-object work; measured here at 0.58 balanced accuracy alone, contributing to a 0.94 ensemble. Related physics led to polarimetry, which is exactly this idea with a polariser [R31].","Directly measures transmission vs diffuse attenuation, the one cue that is material-specific rather than shape- or lighting-specific.","Requires textured background behind the object (measured here: it is the cue a featureless white studio backdrop removes - with whitebg shift the composite model still held 0.95, showing the model is not actually relying on it).","Physically grounded, cheap; tells you when your imaging station is uninformative.",Useless on a blank backdrop; needs a foreground estimate to be computed at all.,Conveyor/table capture with visible texture behind items; design input for the capture cell.,baseline,"R31,R32"
polarimetry_vision,Polarisation imaging (glass vs transparent plastic),model,Heuristic / physics-first (non-RGB sensor),,,full frame,none,,small (calibration) or a few hundred for a learned head,minutes of CPU,high (camera-limited),hardware-dependent (commercial polarisation cameras),"Polarimetry 'leverages the polarization properties of light reflected and transmitted by glass', exploiting the dielectric nature of glass to alter polarisation state, and 'has proven useful, for example, in differentiating glass from transparent plastics' [R31]. Still thin in the literature - an open research gap.",Attacks the exact failure case of RGB (clear glass vs clear PET/PP) with a physical property rather than appearance.,"Sensitive to surface orientation, stress birefringence in moulded plastics and to dirt; adds a sensor and calibration burden.",Highest physics-per-euro for the transparent/transparent case; passive and fast.,"Immature tooling, few public datasets, needs fusion logic with RGB for shape/colour.",When the stream is dominated by transparent items and RGB has plateaued; a strong candidate for a research contribution.,research,R31
svm_rbf_features,SVM (RBF) on hand-crafted features,model,Classical ML on features,,,feature vector (no image at inference beyond features),none,,"~200-1,000 labelled images",<1 s CPU,0.04 ms/image (clf only),scikit-learn (BSD-3),"Measured here: 0.933 balanced accuracy on the proxy task with 142 features, 0.89-0.98 bootstrap CI, but collapses to chance under sensor noise and clutter. In spectroscopy, SVM/RF are the most stable choice for small samples while deep models win on large samples [R25]; RF/SVM with grid-search/Bayesian tuning are the standard strong baselines for glass CV [R31].",Works well with engineered transparency/specular features; strong in the small-data regime typical of sorting plants.,Depends entirely on the feature engineering; not spatially selective; RBF kernels are acutely sensitive to input distribution shift (measured here: 0.50 on noise/jpeg/deep-shadow shifts where tree ensembles retained 0.82-0.92).,"Seconds to train, kilobytes to store, fully inspectable decision surface; excellent data-efficiency; auditable for certification.",Feature engineering is where the accuracy lives; scaling assumptions break under shift; no notion of shape or context.,"Small labelled sets, embedded deployment, or when you must justify every decision to an auditor.",production (small-data),"R25,R31"
rf_extratrees_features,Random Forest / ExtraTrees on hand-crafted features,model,Classical ML on features,,,feature vector,none,,"~200-1,000 labelled images",<1 s CPU,0.1-1.2 ms/image (clf only),scikit-learn (BSD-3),"Measured here: 0.908-0.933 balanced accuracy, and by far the most robust tier under acquisition shift (0.82-0.92 under noise/jpeg/dark, vs 0.50 for the RBF SVM). The hyperspectral review finds ResNet-50 best among deep classifiers and RF/SVM strong among conventional ones [R22].","Handles the mixed, non-Gaussian statistics of specular/texture features; supplies feature importances, which is how you discover which cue the model is actually using.",Same blindness to spatial context as any global-descriptor model; large ensembles cost memory on MCUs.,"Robust, fast, interpretable, no scaling assumptions, trains on a laptop in under a second.",Cannot exceed its features; importances are biased toward high-cardinality features.,Default workhorse for a classical pipeline; the model to beat before reaching for a CNN.,production (small-data),"R22,R25"
lda_features,LDA / QDA on hand-crafted features,model,Classical ML on features,,,feature vector or spectrum,none,,50-500 labelled samples,<1 s CPU,microseconds/image,scikit-learn (BSD-3),"The linear reference model for engineered features (measured here: 0.922 balanced accuracy, second only to boosting in the classical tier). Its *spectral* counterpart - PLS-DA on NIR/HSI/FTIR spectra - is the industrial workhorse and is covered under the two spectral entries in this registry, where it reaches sensitivity/specificity 0.910-1.000 for glass colour classes [R21] and F1 0.517-0.971 on plastic spectra [R27].","Optimal when the classes are linearly separable in the chosen feature space; gives signed class scores that an operator or auditor can inspect, and needs very few samples to stabilise.",A single linear hyperplane in feature space cannot represent 'bright AND elongated AND smooth' interactions; sensitive to feature scaling and outliers in specular statistics.,"Standard, explainable, tiny, extremely fast; the score itself is a linear audit trail.",Underfits interaction structure (boosting beats it here by 2 points); no spatial context.,As the linear reference for a feature-based model; use the spectral entries for the PLS-DA-on-spectra pipeline.,baseline / production (linear reference),"R21,R27"
gbdt_features,Gradient-boosted trees (HistGradientBoosting/XGBoost/LightGBM),model,Classical ML on features,,,feature vector,none,,"~500-5,000 labelled images",1-30 s CPU,0.04 ms/image (clf only),BSD/MIT (sklearn/LightGBM/XGBoost),"Measured here: best shallow model overall (0.944 balanced accuracy, ROC AUC 0.986) and strong under dark/noise/jpeg shifts (0.82-0.93) - but still collapses under background clutter, like every global-descriptor model.","Captures interactions between cues (e.g. 'bright AND large highlight AND low texture' -> plastic), which matters because no single cue is reliable for glass vs plastic.",Needs more data than LDA/linear models; less interpretable than a single rule; still blind to spatial context.,Best accuracy-per-second in the classical tier; handles mixed feature types and missing values; feature importances + SHAP for audits.,Hyper-parameter sensitive; CPU-bound training on huge feature sets; black-box-ish.,Tabular features of any sensor modality; when a CNN cannot be justified by data volume or latency budget.,production (small-mid data),R25
knn_gmm_features,k-NN / Gaussian mixture / Mahalanobis on features,model,Classical ML on features,,,feature vector,none,,50-500 labelled samples,milliseconds,0.1-1 ms/image,scikit-learn (BSD-3),"Measured here: k-NN 0.90 balanced accuracy. In industrial hyperspectral work, similarity/nearest-neighbour heads over frozen embeddings are competitive when many exemplars are available, and DINOv3 1-NN is the strongest training-free baseline in the waste-VLM study [R30].","Non-parametric, so it tracks multimodal appearance (many bottle/ jar sub-types) better than a single linear boundary; GMM gives an explicit 'novelty' score.",Degrades with dimensionality and with class imbalance; needs a feature space where distance is meaningful (i.e. you must normalise well).,"Zero training, instantly updatable (add exemplars for a new product), supports OOD detection via likelihood.",Inference grows with the exemplar set; sensitive to uninformative features.,Frequently changing product mix where re-training is impractical; OOD/reject logic.,production (small-data),R30
